date,KOSPI_rebased,EEM_rebased,foreign_netbuy,kospi_ret,eem_ret,korea_alpha,dxy_chg,fed_net_liquidity
2025-09-18,110.96009009240984,110.22821655949706,2851.0,0.014032972360339402,-0.002440769905423079,0.01647374226576248,0.0049550502108970385,5838514.0
2025-09-19,110.44524725205709,109.97924658461108,-3080.0,-0.004639892054197237,-0.0022586773392234694,-0.0023812147149737672,0.0029789514131779438,5840858.0
2025-09-22,111.1957068828513,110.51866270184632,5653.0,0.0067948567228208745,0.004904708242570388,0.0018901484802504864,-0.0031749033237563618,5838048.0
2025-09-23,111.7579939678032,110.58090116092116,3414.0,0.005056733759912779,0.0005631488614983304,0.004493584898414449,-0.0007191995634161508,5837819.0
2025-09-24,111.30758670412222,110.20746233717882,-2486.0,-0.004030201757296514,-0.0033770643919687204,-0.0006531373653277939,0.006271854790802278,5774367.0
2025-09-25,111.27457452600952,109.56430738552558,2196.0,-0.00029658515731212365,-0.005835856647215976,0.005539271489903852,0.006947995157785991,5778170.0
2025-09-26,108.54777487510276,109.35683778598282,-5707.0,-0.0245051456051123,-0.0018935874692543875,-0.022611558135857912,-0.004058868731529275,5755466.0
2025-09-29,109.99548176139773,110.35268540835344,4472.0,0.013337048022962428,0.009106404707125426,0.004230643315837002,-0.0024452150793523586,5747319.0
2025-09-30,109.7835870932558,110.7883788297572,230.0,-0.001926394291372313,0.003948190474853508,-0.005874584766225821,-0.0014299562231264717,5754468.0
2025-10-01,110.78473735399956,111.65974146468488,8455.0,0.009119307241193919,0.007865108634423024,0.0012541986067708955,-0.0006136602296590299,5771801.0
2025-10-02,113.77824848089584,112.17841142889512,31265.0,0.027020970563218283,0.004645093723186777,0.022375876840031506,0.0014328051474794545,5773544.0
2025-10-03,,112.51036601588083,,,0.002959166409627345,,-0.0013285360801753576,5756588.0
2025-10-06,,113.02903598009112,,,0.004609974907885839,,0.003990988382896354,5760204.0
2025-10-07,,112.15767334516345,,,-0.007709192840334889,,0.0047905536416184,5777358.0
2025-10-08,,113.04979020240935,,,0.007954131274642506,,0.0027388581664782308,5778156.0
2025-10-09,,111.88795721725258,,,-0.01027717948946727,,0.006980297946963532,5778891.0
2025-10-10,115.74625327822748,107.75932751800885,10592.0,,-0.036899678946029524,,-0.005625854464970104,5779263.0
2025-10-13,114.91115787358058,110.89210959488196,-8220.0,-0.0072148806634760865,0.02907202697928435,-0.036286907642760435,0.002929816895308246,5779263.0
2025-10-14,114.18217415951015,109.8962619725113,5581.0,-0.006343889728031349,-0.008980328952246874,0.0026364392242155255,-0.0022161136168827866,5779871.0
2025-10-15,117.2426879551648,111.70124184002805,1631.0,0.026803779295524244,0.016424397291767923,0.010379382003756321,-0.002624958386872489,5781377.0
2025-10-16,120.162794336087,112.42737333448778,6533.0,0.02490651171388092,0.0065006573113992605,0.01840585440248166,-0.0040490082211958045,5779901.0
2025-10-17,120.1794569551486,112.40662718146284,4438.0,0.00013866704044018796,-0.00018452937580626383,0.0003231964162464518,0.00040655468823547203,5782759.0
2025-10-20,122.28883182674508,113.94189899036192,-2500.0,0.01755187554544957,0.013658196561850966,0.003893678983598603,0.0016254803639010884,5780930.0
2025-10-21,122.58216123013176,112.676351378667,-124.0,0.00239866060542826,-0.011106955587970258,0.013505616193398517,0.0034486659895989202,5782162.0
2025-10-22,124.50046775078827,112.5726044749557,-7033.0,0.015649149120932515,-0.0009207513594635675,0.016569900480396083,-0.0003032323784932789,5677527.0
2025-10-23,123.2784458261,113.56846016661964,-4071.0,-0.009815400269293506,0.008846341401699265,-0.01866174167099277,0.00040445818918266596,5674591.0
2025-10-24,126.35691361335977,114.31534588339758,5756.0,0.02497166286150554,0.006576524113140136,0.018395138748365403,0.00010101583373089973,5679097.0
2025-10-27,129.60239891624886,115.58090963367913,6471.0,0.02568506312855945,0.011070812413692899,0.01461425071486655,-0.0017180209619839237,5670890.0
2025-10-28,128.5630944667191,115.53940925833592,-16379.0,-0.008019176020047092,-0.0003590590822888373,-0.0076601169377582545,-0.0009110785483174011,5667436.0
2025-10-29,130.83083074465316,116.20331036301413,-1066.0,0.017639092208698415,0.005746100909982843,0.011892991298715572,0.005370339104121102,5609540.0
2025-10-30,131.01483959235514,114.99999314110072,-1173.0,0.001406463955435422,-0.01035527488979704,0.011761738845232461,0.0031243454422480443,5609878.0
2025-10-31,131.67554491812425,114.7302850824831,13212.0,0.005042980839611966,-0.002345287606119073,0.007388268445731039,0.0027127928842805016,5577242.0
2025-11-03,135.34194723170032,115.45643271552942,-7949.0,0.02784421599208775,0.006329171347602358,0.021515044644485393,0.0007013997262901306,5605252.0
2025-11-04,132.13204902551072,113.34024441405192,-22282.0,-0.02371695007974428,-0.0183288904022485,-0.005388059677495782,0.0035045405476676894,5612061.0
2025-11-05,128.37107128274695,114.35683818944749,-20695.0,-0.028463781274122413,0.008969398122010253,-0.037433179396132665,-0.00019960359426529628,5618939.0
2025-11-06,129.07729553405025,113.50621363825152,-16950.0,0.005501428353338111,-0.007438335692587117,0.012939764045925228,-0.004690554946337744,5620999.0
2025-11-07,126.74704899850929,113.17426712055902,-4550.0,-0.01805310938612159,-0.0029244788197269056,-0.015128630566394685,-0.0013035684190966235,5626850.0
