date,corr_weekly_roll8_ffill,corr_daily_roll30,fed_net_liquidity_weekly,KOSPI,NASDAQ,KOSPI_rebased,NASDAQ_rebased
2025-09-26,0.7422600697770012,0.2899556665909426,5755466.0,3386.050048828125,22484.0703125,108.54777487510276,108.88100644791992
2025-09-29,0.7422600697770012,0.29881477608951784,5755466.0,3431.2099609375,22591.150390625,109.99548176139773,109.39955075572216
2025-09-30,0.7422600697770012,0.22419516257141697,5755466.0,3424.60009765625,22660.009765625,109.7835870932558,109.73300808569712
2025-10-01,0.7422600697770012,0.18089699152356434,5755466.0,3455.830078125,22755.16015625,110.78473735399956,110.19378187581476
2025-10-02,0.7422600697770012,0.17614380308787045,5755466.0,3549.2099609375,22844.05078125,113.77824848089584,110.6242422230413
2025-10-03,0.7696970310164085,0.15874035046466567,5756588.0,,22780.509765625,,110.3165394968082
2025-10-06,0.7696970310164085,0.19255394109162205,5756588.0,,22941.669921875,,111.09697114321028
2025-10-07,0.7696970310164085,0.21710983789826097,5756588.0,,22788.359375,,110.3545518921216
2025-10-08,0.7696970310164085,0.2164571122610794,5756588.0,,23043.380859375,,111.58951493478544
2025-10-09,0.7696970310164085,0.2212296959556269,5756588.0,,23024.630859375,,111.49871647869966
2025-10-10,0.5118090760990452,0.16101691911777719,5779263.0,3610.60009765625,22204.4296875,115.74625327822748,107.52682314078102
2025-10-13,0.5118090760990452,-0.02237026256948292,5779263.0,3584.550048828125,22694.609375,114.91115787358058,109.90055961169284
2025-10-14,0.5118090760990452,0.05319920082333895,5779263.0,3561.81005859375,22521.69921875,114.18217415951015,109.06322759947705
2025-10-15,0.5118090760990452,0.0913670734040061,5779263.0,3657.280029296875,22670.080078125,117.2426879551648,109.78177442315317
2025-10-16,0.5118090760990452,0.006956908663360451,5779263.0,3748.3701171875,22562.5390625,120.162794336087,109.2609979866388
2025-10-17,0.5172103274432517,-0.007856945874117848,5782759.0,3748.889892578125,22679.970703125,120.1794569551486,109.82967060873838
2025-10-20,0.5172103274432517,0.05218550760030147,5782759.0,3814.68994140625,22990.5390625,122.28883182674508,111.33362407755624
2025-10-21,0.5172103274432517,0.05984770564128617,5782759.0,3823.840087890625,22953.669921875,122.58216123013176,111.15508215510516
2025-10-22,0.5172103274432517,0.015203774757123274,5782759.0,3883.679931640625,22740.400390625,124.50046775078827,110.12230646616476
2025-10-23,0.5172103274432517,-0.033029382569892525,5782759.0,3845.56005859375,22941.80078125,123.2784458261,111.09760484076835
2025-10-24,0.5473445763516677,0.03214991492913228,5679097.0,3941.590087890625,23204.869140625,126.35691361335977,112.371535554169
2025-10-27,0.5473445763516677,0.14695774431493255,5679097.0,4042.830078125,23637.4609375,129.60239891624886,114.46639780865492
2025-10-28,0.5473445763516677,0.1323490250696769,5679097.0,4010.409912109375,23827.490234375,128.5630944667191,115.3866307029115
